age_bucket,age,90,80,70,60,50,40,30,20,10
,25,1,1,1,1,1,1,1,1,1
25 – 29,30,1.596649016,1.39535716,1.354081154,1.282370681,1.220752923,1.181959767,1.158711429,1.077284004,0.9635435627
30 - 34,35,2.196806317,1.820221418,1.701201725,1.576015773,1.477394589,1.411273096,1.353073699,1.220632694,1.026302541
35 - 39,40,2.652254324,2.101953518,1.92006366,1.758895115,1.622386468,1.52259007,1.390694788,1.213933968,0.9574153699
40 - 44,45,3.179065957,2.410827711,2.156526817,1.967801206,1.798281276,1.637839327,1.500388607,1.28155145,1.004262173
45 - 49,50,3.455232103,2.565318743,2.27890077,2.021508757,1.830884236,1.646044919,1.458112238,1.221206775,0.9449569681
50 – 54,55,3.373098806,2.404069916,2.093797922,1.839435743,1.616496028,1.431824312,1.229067009,1.007200581,0.7400838948
55 - 59,60,3.114912607,2.174197739,1.859071113,1.640764665,1.437483593,1.277177932,1.100251213,0.8924574753,0.6638731489
